,X,Y,name,com_insee,com_nom,Type,Type_détaillé,geometry,0
474,2.1944701,48.8726735997239,Missing,92063,Rueil-Malmaison,library,Dépôt à livres,POINT (2.1944701 48.8726735997239),[10750 10876 11002]
475,2.2243697,48.8659449997256,Missing,92073,Suresnes,library,Dépôt à livres,POINT (2.2243697 48.8659449997256),[11128 11129 11254 11255 11381]
476,2.2024772,48.8715374997242,Missing,92063,Rueil-Malmaison,library,Dépôt à livres,POINT (2.2024772 48.8715374997242),[10750 10876 10877 11002 11003]
477,2.1895658,48.9596257997023,Missing,95176,Cormeilles-en-Parisis,library,Dépôt à livres,POINT (2.1895658 48.9596257997023),[10614 10615 10740 10741 10866 10867]
478,2.2921616,48.8247584997358,Boite à Livres,92075,Vanves,library,Dépôt à livres,POINT (2.2921616 48.8247584997358),[12015 12141 12142 12267 12268]
479,2.1627293,48.4249594998346,Missing,91223,Étampes,library,Dépôt à livres,POINT (2.1627293 48.4249594998346),[10296 10421 10422 10548]
480,2.2133051,48.8629552997263,Médiathèque de la Poterie,92073,Suresnes,library,Médiathèque,POINT (2.2133051 48.8629552997263),[11003 11004 11129 11130 11255]
481,2.3851388,48.698814499767,Boîte à livres,91027,Athis-Mons,library,Dépôt à livres,POINT (2.3851388 48.698814499767),[13415 13416 13541 13542 13667]
482,1.9741467,48.6734731997733,Missing,78128,Cernay-la-Ville,library,Dépôt à livres,POINT (1.9741467 48.6734731997733),[7622 7748 7749 7874]
483,2.5213813,48.8380877997325,Missing,94015,Bry-sur-Marne,library,Dépôt à livres,POINT (2.5213813 48.8380877997325),[15290 15415 15416 15542]
484,2.0683442,48.7101118997642,Missing,78575,Saint-Rémy-lès-Chevreuse,library,Dépôt à livres,POINT (2.0683442 48.7101118997642),[9004 9005 9130 9131 9256]
485,1.8751913,48.670567599774,Bibliothèque municipale,78655,Vieille-Église-en-Yvelines,library,Bibliothèque,POINT (1.8751913 48.670567599774),[6236 6237 6362 6363 6488 6489]
486,2.383053,48.8848655997209,Bibliothèque jeunesse Crimée,75056,Paris,library,Bibliothèque,POINT (2.383053 48.8848655997209),[13394 13395 13520 13521]
487,2.4542408,48.7402922997567,Missing,94078,Villeneuve-Saint-Georges,library,Dépôt à livres,POINT (2.4542408 48.7402922997567),[14293 14418 14419 14544 14545]
488,2.5067312,48.7107316997641,Missing,91114,Brunoy,library,Dépôt à livres,POINT (2.5067312 48.7107316997641),[15052 15178 15179 15304]
489,1.9434462,48.7618463997514,Missing,78383,Maurepas,library,Dépôt à livres,POINT (1.9434462 48.7618463997514),[7234 7235 7360 7361 7486]
490,1.9179349,48.7658811997504,Missing,78383,Maurepas,library,Dépôt à livres,POINT (1.9179349 48.7658811997504),[6856 6981 6982 7108]
491,2.4347384,48.7490997997545,Missing,94078,Villeneuve-Saint-Georges,library,Dépôt à livres,POINT (2.4347384 48.7490997997545),[14040 14165 14166 14291 14292]
492,2.4636474,48.723158899761,Missing,91191,Crosne,library,Dépôt à livres,POINT (2.4636474 48.723158899761),[14546 14547 14672 14673]
493,2.4692571,48.7220039997613,Missing,91191,Crosne,library,Dépôt à livres,POINT (2.4692571 48.7220039997613),[14547 14672 14673 14798 14799]
494,2.4584062,48.7156536997628,Missing,91191,Crosne,library,Dépôt à livres,POINT (2.4584062 48.7156536997628),[14421 14422 14547 14548 14673 14674]
495,2.474428,48.7188085997621,Missing,91191,Crosne,library,Dépôt à livres,POINT (2.474428 48.7188085997621),[14673 14674 14799 14800 14925]
496,1.7306377,48.5902936997939,Missing,78209,Émancé,library,Dépôt à livres,POINT (1.7306377 48.5902936997939),[4229 4230 4355 4356 4481 4482]
