,X,Y,ATM/Agence,com_insee,com_nom,Type,Type_détaillé,geometry,0
3993,2.2401173,48.8398344997321,bank,92012,Boulogne-Billancourt,banque,BRED/Banque populaire,POINT (2.2401173 48.8398344997321),[11383 11384 11509 11510 11636]
3994,2.470526,48.4019231998403,bank,91405,Milly-la-Forêt,banque,Société Générale,POINT (2.470526 48.4019231998403),[14582 14708 14709 14834 14835]
3995,2.4704735,48.4019547998403,atm,91405,Milly-la-Forêt,banque,Société Générale,POINT (2.4704735 48.4019547998403),[14582 14708 14709 14834 14835]
3996,2.4705367,48.4021194998402,bank,91405,Milly-la-Forêt,banque,CIC,POINT (2.4705367 48.4021194998402),[14582 14708 14709 14834 14835]
3997,2.4704778,48.4020820998403,atm,91405,Milly-la-Forêt,banque,CIC,POINT (2.4704778 48.4020820998403),[14582 14708 14709 14834 14835]
3998,2.3115713,48.8731956997238,atm,75056,Paris,banque,,POINT (2.3115713 48.8731956997238),[12388 12514 12640]
3999,2.3059734,48.8778568997226,bank,75056,Paris,banque,Société Générale,POINT (2.3059734 48.8778568997226),[12261 12262 12387 12388 12513 12514]
4000,2.2464703,48.8389829997323,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2464703 48.8389829997323),[11384 11509 11510 11635 11636]
4001,2.246545,48.8389650997323,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.246545 48.8389650997323),[11384 11509 11510 11635 11636]
4002,2.238553,48.8421367997315,atm,92012,Boulogne-Billancourt,banque,Société Générale,POINT (2.238553 48.8421367997315),[11383 11384 11509 11510]
4003,2.0437372,48.8098683997395,bank,78242,Fontenay-le-Fleury,banque,CIC,POINT (2.0437372 48.8098683997395),[8615 8741 8867]
4004,2.043694,48.8098320997395,atm,78242,Fontenay-le-Fleury,banque,,POINT (2.043694 48.8098320997395),[8615 8741 8742 8867]
4005,2.2800155,48.9186927997125,bank,92009,Bois-Colombes,banque,BRED/Banque populaire,POINT (2.2800155 48.9186927997125),[11879 12004 12005 12131]
4006,2.3032046,48.8794538997222,bank,75056,Paris,banque,BNP Paribas,POINT (2.3032046 48.8794538997222),[12261 12262 12387 12388 12513]
4007,2.3041948,48.8749658997233,bank,75056,Paris,banque,BNP Paribas,POINT (2.3041948 48.8749658997233),[12261 12262 12387 12388 12514]
4008,2.3048788,48.8745759997234,bank,75056,Paris,banque,Société Générale,POINT (2.3048788 48.8745759997234),[12261 12262 12387 12388 12514]
4009,2.2563447,48.9719861996993,bank,95582,Sannois,banque,Caisse d'Epargne,POINT (2.2563447 48.9719861996993),[11495 11621 11747]
4010,2.3440729,48.8666487997254,atm,75056,Paris,banque,,POINT (2.3440729 48.8666487997254),[12767 12892 12893 13018 13019]
4011,2.3318301,48.8729938997238,atm,75056,Paris,banque,,POINT (2.3318301 48.8729938997238),[12640 12765 12766 12892]
4012,2.8158143,48.3734575998473,bank,77316,Moret-Loing-et-Orvanne,banque,,POINT (2.8158143 48.3734575998473),[19499 19500 19625 19626 19752]
4013,2.1872104,48.6982207997672,atm,91471,Orsay,banque,,POINT (2.1872104 48.6982207997672),[10643 10644 10769 10770 10895]
4014,2.1867773,48.6979538997672,atm,91471,Orsay,banque,,POINT (2.1867773 48.6979538997672),[10643 10644 10769 10770 10895]
4015,2.3739807,48.8350772997332,bank,75056,Paris,banque,BRED/Banque populaire,POINT (2.3739807 48.8350772997332),[13274 13275 13400 13401]
4016,2.341144,48.8770625997228,atm,75056,Paris,banque,,POINT (2.341144 48.8770625997228),[12765 12766 12891 12892 13017 13018]
4017,1.8751657,48.8551866997282,bank,78062,Beynes,banque,Crédit Agricole,POINT (1.8751657 48.8551866997282),[6216 6341 6342 6468]
4018,1.8750952,48.8553332997282,bank,78062,Beynes,banque,BRED/Banque populaire,POINT (1.8750952 48.8553332997282),[6216 6341 6342 6468]
4019,1.8736207,48.8556377997281,bank,78062,Beynes,banque,CIC,POINT (1.8736207 48.8556377997281),[6216 6341 6342 6468]
4020,2.3014462,48.8687359997249,bank,75056,Paris,banque,,POINT (2.3014462 48.8687359997249),[12262 12263 12388 12389]
4021,2.161088,48.711193699764,bank,91272,Gif-sur-Yvette,banque,Société Générale,POINT (2.161088 48.711193699764),[10264 10390 10516]
4022,2.1613016,48.7111857997639,atm,91272,Gif-sur-Yvette,banque,,POINT (2.1613016 48.7111857997639),[10264 10390 10516]
4023,1.8755018,48.8565010997279,atm,78062,Beynes,banque,,POINT (1.8755018 48.8565010997279),[6216 6341 6342 6468]
4024,1.8754777,48.8564339997279,bank,78062,Beynes,banque,Banque Postale,POINT (1.8754777 48.8564339997279),[6216 6341 6342 6468]
4025,1.875114,48.8553208997282,atm,78062,Beynes,banque,,POINT (1.875114 48.8553208997282),[6216 6341 6342 6468]
4026,1.8752447,48.8552161997282,atm,78062,Beynes,banque,,POINT (1.8752447 48.8552161997282),[6216 6341 6342 6468]
4027,2.0531053,48.9338852997087,bank,78498,Poissy,banque,Société Générale,POINT (2.0531053 48.9338852997087),[8727 8728 8853 8854 8979]
